date,price_65_m1,raw_price_65_m1,contract_month_65_m1,price_62_m1,raw_price_62_m1,contract_month_62_m1
2022-10-04,89.6317004363968,108.28,2022-11,66.55176396479061,93.45,2022-11
2022-10-05,89.79725584909794,108.48,2022-11,66.6229804056304,93.55,2022-11
2022-10-06,90.29392208720135,109.08,2022-11,66.9434543894095,94.0,2022-11
2022-10-07,90.2276999221209,109.0,2022-11,67.22832015276869,94.4,2022-11
2022-10-10,92.87658652533914,112.2,2022-11,68.79508185124422,96.6,2022-11
2022-10-11,90.77403278403466,109.66,2022-11,67.29953659360848,94.5,2022-11
2022-10-12,89.95453349116403,108.67,2022-11,66.9434543894095,94.0,2022-11
2022-10-13,87.79403535541415,106.06,2022-11,65.41230091135385,91.85,2022-11
2022-10-14,88.6300901895549,107.07,2022-11,66.8722379485697,93.9,2022-11
2022-10-17,86.46131428316998,104.45,2022-11,65.34108447051405,91.75,2022-11
2022-10-18,86.78414733793721,104.84,2022-11,65.87520777681253,92.5,2022-11
2022-10-19,86.16331454030794,104.09,2022-11,65.62595023387325,92.15,2022-11
2022-10-20,83.92003869820749,101.38,2022-11,64.16601319665739,90.1,2022-11
2022-10-21,84.69814913790285,102.32,2022-11,64.59331184169618,90.7,2022-11
2022-10-24,84.573982578377,102.17,2022-11,64.48648718043648,90.55,2022-11
2022-10-25,82.8604840569202,100.1,2022-11,63.062158363640535,88.55,2022-11
2022-10-26,81.11387445292318,97.99,2022-11,61.495396665164996,86.35,2022-11
2022-10-27,76.99982244729988,93.02,2022-11,58.6111308111532,82.3,2022-11
2022-10-28,76.32932302586026,92.21,2022-11,57.07997733309757,80.15,2022-11
2022-10-31,74.28471367900119,89.74,2022-11,56.01173072050061,78.65,2022-11
2022-11-01,74.72698393568362,89.55,2022-12,56.8098253292124,78.3,2022-12
2022-11-02,77.03012715916199,92.31,2022-12,58.55112265731087,80.7,2022-12
2022-11-03,78.03149377806562,93.51,2022-12,59.421771321360104,81.9,2022-12
2022-11-04,81.67813721523967,97.88,2022-12,62.650426783876,86.35,2022-12
2022-11-07,81.6197241624703,97.81,2022-12,62.54159570086985,86.2,2022-12
2022-11-08,83.15515297812254,99.65,2022-12,63.6661835586001,87.75,2022-12
2022-11-09,83.5473549038598,100.12,2022-12,64.10150789062472,88.35,2022-12
2022-11-10,81.74489498983326,97.96,2022-12,62.46904164553241,86.1,2022-12
2022-11-11,85.88387701463495,102.92,2022-12,66.06046738473549,91.05,2022-12
2022-11-14,87.9283338615632,105.37,2022-12,68.30964310019601,94.15,2022-12
2022-11-15,89.16335269154433,106.85,2022-12,68.6724133768832,94.65,2022-12
2022-11-16,91.06594926746124,109.13,2022-12,70.88531206467499,97.7,2022-12
2022-11-17,91.23284370394518,109.33,2022-12,70.23232556663807,96.8,2022-12
2022-11-18,92.07566060818908,110.34,2022-12,71.68340667338678,98.8,2022-12
2022-11-21,89.27183407525891,106.98,2022-12,69.21656879191397,95.4,2022-12
2022-11-22,87.94502330521159,105.39,2022-12,67.4752714638155,93.0,2022-12
2022-11-23,89.8309304374801,107.65,2022-12,69.25284581958269,95.45,2022-12
2022-11-24,90.21478764139316,108.11,2022-12,69.50678501326371,95.8,2022-12
2022-11-25,93.06868250526851,111.53,2022-12,72.37267019909243,99.75,2022-12
2022-11-28,92.31765754109078,110.63,2022-12,71.2843593690309,98.25,2022-12
2022-11-29,94.62914548639334,113.4,2022-12,73.1344877801355,100.8,2022-12
2022-11-30,94.48728521538199,113.23,2022-12,73.38842697381654,101.15,2022-12
2022-12-01,96.1704125318722,115.99,2023-01,74.70744013959656,101.95,2023-01
2022-12-02,100.09218209197012,120.72,2023-01,77.71185901720662,106.05,2023-01
2022-12-05,102.22303785718188,123.29,2023-01,79.54382174745666,108.55,2023-01
2022-12-06,102.00746490039002,123.03,2023-01,79.32398621982665,108.25,2023-01
2022-12-07,100.34921138660656,121.03,2023-01,77.49202348957662,105.75,2023-01
2022-12-08,103.22628123302087,124.5,2023-01,80.09341056653167,109.3,2023-01
2022-12-09,105.33226319552588,127.04,2023-01,81.81545553296671,111.65,2023-01
2022-12-12,103.34235897898571,124.64,2023-01,80.23996758495167,109.5,2023-01
2022-12-13,102.78684405186824,123.97,2023-01,79.50718249285165,108.5,2023-01
2022-12-14,102.58785363021424,123.73,2023-01,79.76365727508666,108.85,2023-01
2022-12-15,104.90940854951108,126.53,2023-01,81.5589807507317,111.3,2023-01
2022-12-16,104.61092291703007,126.17,2023-01,81.6322592599417,111.4,2023-01
2022-12-19,101.58461025437524,122.52,2023-01,78.95759367377664,107.75,2023-01
2022-12-20,102.87804799512634,124.08,2023-01,80.05677131192667,109.25,2023-01
2022-12-21,105.1581465765786,126.83,2023-01,82.76807615269674,112.95,2023-01
2022-12-22,104.03053418720584,125.47,2023-01,81.3391452231017,111.0,2023-01
2022-12-23,103.7237572871559,125.1,2023-01,81.0093919316567,110.55,2023-01
2022-12-27,106.02043840374601,127.87,2023-01,83.39094348098173,113.8,2023-01
2022-12-28,105.821447982092,127.63,2023-01,83.06119018953673,113.35,2023-01
2022-12-29,107.29729360935927,129.41,2023-01,84.60003888294676,115.45,2023-01
2022-12-30,108.48294487171447,130.84,2023-01,85.77249503030679,117.05,2023-01
2023-01-03,108.36651116823364,130.3,2023-02,85.99403397571437,116.45,2023-02
2023-01-04,107.60137540250243,129.38,2023-02,85.18172450921986,115.35,2023-02
2023-01-05,107.65959225424284,129.45,2023-02,84.99710872138019,115.1,2023-02
2023-01-06,109.9050993928018,132.15,2023-02,87.06480554518441,117.9,2023-02
2023-01-09,109.48094804440731,131.64,2023-02,86.47403502409749,117.1,2023-02
2023-01-10,111.66823833122587,134.27,2023-02,88.72634763574136,120.15,2023-02
2023-01-11,113.26504340753445,136.19,2023-02,90.12942762332278,122.05,2023-02
